country_name,syn_first,syn_second
Afghanistan,Islamic Republic of Afghanistan,
Albania,Republic of Albania,
Algeria,People's Democratic Republic of Algeria,
Andorra,Principality of Andorra,
Angola,Republic of Angola,
Anguilla,,
Antigua and Barbuda,,
Argentina,Argentine Republic,
Armenia,Republic of Armenia,
Australia,Commonwealth of Australia,
Austria,Republic of Austria,
Azerbaijan,Republic of Azerbaijan,
Bahamas,Commonwealth of The Bahamas,
Bahrain,Kingdom of Bahrain,
Bangladesh,People's Republic of Bangladesh,
Barbados,,
Belarus,Republic of Belarus,
Belgium,Kingdom of Belgium,
Belize,,
Benin,Republic of Benin,
Bhutan,Kingdom of Bhutan,
Bolivia,Plurinational State of Bolivia,
Bosnia and Herzegovina,,
Botswana,Republic of Botswana,
Brazil,Republic of Botswana,
Brunei,"Nation of Brunei, the Abode of Peace",
Bulgaria,Republic of Bulgaria,
Burkina Faso,,
Burundi,Republic of Burundi,
Cambodia,Kingdom of Cambodia,
Cameroon,Republic of Cameroon,
Canada,Republic of Cabo Verde,
Cape Verde,,
Central African Republic,,
Chad,Republic of Chad,
Chile,Republic of Chile,
China,People's Republic of China,
Colombia,People's Republic of China,
Comoros,Union of the Comoros,
Congo,Democratic Republic of Congo,Republic of the Congo
Costa Rica,Republic of Costa Rica,
Croatia,Republic of Croatia,
Cuba,Republic of Cuba,
Cyprus,Republic of Cyprus,
Czech Republic,,
Denmark,Kingdom of Denmark,
Djibouti,Republic of Djibouti,
Dominica,Commonwealth of Dominica,
Dominican Republic,,
East Timor,Democratic Republic of Timor-Leste,
Ecuador,Republic of Ecuador,
Egypt,Arab Republic of Egypt,
El Salvador,Republic of El Salvador,
Equatorial Guinea,Republic of Equatorial Guinea,
Eritrea,State of Eritrea,
Estonia,Republic of Estonia,
Eswatini,Kingdom of Eswatini,
Ethiopia,Federal Democratic Republic of Ethiopia,
Fiji,Republic of Fiji,Fiji Islands
Finland,Republic of Finland,
France,French Republic,
Gabon,Gabonese Republic,
Gambia,Republic of The Gambia,
Georgia,,
Germany,Federal Republic of Germany,
Ghana,Republic of Ghana,
Greece,Hellenic Republic,
Grenada,,
Guatemala,Republic of Guatemala,
Guinea,Republic of Guinea,
Guinea-Bissau,Republic of Guinea-Bissau,
Guyana,Co-operative Republic of Guyana,
Haiti,Republic of Haiti,
Honduras,Republic of Honduras,
Hungary,,
Iceland,,
India,Republic of India,
Indonesia,Republic of Indonesia,
Iran,Islamic Republic of Iran,
Iraq,Republic of Iraq,
Ireland,,
Israel,State of Israel,
Italy,Italian Republic,
Ivory Coast,Republic of Côte d'Ivoire,
Jamaica,,
Japan,,
Jordan,Hashemite Kingdom of Jordan,
Kazakstan,Republic of Kazakhstan,
Kenya,Republic of Kenya,
Kiribati,Republic of Kiribati,
Kuwait,State of Kuwait,
Kyrgyzstan,Kyrgyz Republic,
Laos,Lao People's Democratic Republic,
Latvia,Republic of Latvia,
Lebanon,Lebanese Republic,
Lesotho,Lebanese Republic,
Liberia,Lebanese Republic,
Libya,State of Libya,Libyan Arab Jamahiriya
Liechtenstein,Principality of Liechtenstein,
Luxembourg,Grand Duchy of Luxembourg,
Madagascar,Republic of Madagascar,
Malawi,Republic of Madagascar,
Malaysia,,
Maldives,Republic of Maldives,
Mali,Republic of Mali,
Malta,Republic of Malta,
Marshall Islands,Republic of the Marshall Islands,
Mauritania,Islamic Republic of Mauritania,
Mauritius,Republic of Mauritius,
Mexico,United Mexican States,
Micronesia,Federated States of Micronesia ,
Moldova,Republic of Moldova,
Monaco,Principality of Monaco,
Mongolia,,
Montenegro,,
Morocco,Kingdom of Morocco,
Mozambique,Republic of Mozambique,
Myanmar,Republic of the Union of Myanmar,
Namibia,Republic of Namibia,
Nauru,Republic of Nauru,
Nepal,Federal Democratic Republic of Nepal,
Netherlands,Kingdom of the Netherlands,
New Zealand,,
Nicaragua,Republic of Nicaragua,
Niger,Republic of Niger,
Nigeria,Federal Republic of Nigeria,
North Korea,Democratic People's Republic of Korea,
North Macedonia,Republic of North Macedonia,
Norway,Kingdom of Norway,
Oman,Sultanate of Oman,
Pakistan,Islamic Republic of Pakistan,
Palau,Republic of Palau,
Palestine,State of Palestine,
Panama,Republic of Panama,
Papua New Guinea,Independent State of Papua New Guinea,
Paraguay,Republic of Paraguay,
Peru,Republic of Peru,
Philippines,Republic of the Philippines,
Poland,Republic of Poland,
Portugal,Portuguese Republic,
Qatar,Portuguese Republic,
Romania,,
Russia,Russian Federation,
Rwanda,Republic of Rwanda,
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,
Saint Lucia,,
Saint Vincent and the Grenadines,,
Samoa,Independent State of Samoa,
San Marino,Republic of San Marino,
Sao Tome and Principe,Democratic Republic of São Tomé and Príncipe,
Saudi Arabia,Kingdom of Saudi Arabia,
Senegal,Republic of Senegal,
Serbia,Republic of Serbia,
Seychelles,Republic of Seychelles,
Sierra Leone,Republic of Sierra Leone,
Singapore,Republic of Singapore,
Slovakia,Slovak Republic,
Slovenia,Republic of Slovenia,
Somalia,Federal Republic of Somalia,
South Africa,Federal Republic of Somalia,
South Georgia and the South Sandwich Islands,,
Republic of Korea,South Korea,
South Sudan,Republic of South Sudan,
Spain,Kingdom of Spain,
SriLanka,Democratic Socialist Republic of Sri Lanka,
Sudan,Republic of the Sudan,
Suriname,Republic of the Sudan,
Sweden,Kingdom of Sweden,
Switzerland,Swiss Confederation,
Syria,Syrian Arab Republic,
Tajikistan,Republic of Tajikistan,
Tanzania,United Republic of Tanzania,
Thailand,Kingdom of Thailand,
