,country,coup_num,p_month,p_year,p_month_smooth,p_year_smooth
0,Afghanistan,4,0.6666666666666667,8.0,1,8
1,Albania,1,0.16666666666666669,2.0,1,3
2,Algeria,5,0.8333333333333334,10.0,1,10
3,Argentina,1,0.16666666666666669,2.0,1,3
4,Armenia,1,0.16666666666666669,2.0,1,3
5,Azerbaijan,5,0.8333333333333334,10.0,1,10
6,Bahrain,1,0.16666666666666669,2.0,1,3
7,Bangladesh,3,0.5,6.0,1,7
8,Burkina Faso,3,0.5,6.0,1,7
9,Burundi,9,1.5,18.0,2,17
10,Cambodia,3,0.5,6.0,1,7
11,Central African Republic,3,0.5,6.0,1,7
12,Chad,7,1.1666666666666667,14.000000000000002,2,14
13,Comoros,5,0.8333333333333334,10.0,1,10
14,Democratic Republic of the Congo,7,1.1666666666666667,14.000000000000002,2,14
15,Djibouti,1,0.16666666666666669,2.0,1,3
16,East Timor,1,0.16666666666666669,2.0,1,3
17,Ecuador,2,0.33333333333333337,4.0,1,5
18,Egypt,2,0.33333333333333337,4.0,1,5
19,Equatorial Guinea,1,0.16666666666666669,2.0,1,3
20,Eritrea,1,0.16666666666666669,2.0,1,3
21,Ethiopia,3,0.5,6.0,1,7
22,Fiji,3,0.5,6.0,1,7
23,Gabon,1,0.16666666666666669,2.0,1,3
24,Gambia,4,0.6666666666666667,8.0,1,8
25,Georgia,4,0.6666666666666667,8.0,1,8
26,Guatemala,1,0.16666666666666669,2.0,1,3
27,Guinea,4,0.6666666666666667,8.0,1,8
28,Guinea-Bissau,11,1.8333333333333333,22.0,2,21
29,Haiti,6,1.0,12.0,1,12
30,Honduras,1,0.16666666666666669,2.0,1,3
31,Indonesia,2,0.33333333333333337,4.0,1,5
32,Iraq,3,0.5,6.0,1,7
33,Italy,1,0.16666666666666669,2.0,1,3
34,Ivory Coast,7,1.1666666666666667,14.000000000000002,2,14
35,Kyrgyzstan,2,0.33333333333333337,4.0,1,5
36,Laos,1,0.16666666666666669,2.0,1,3
37,Lesotho,7,1.1666666666666667,14.000000000000002,2,14
38,Liberia,5,0.8333333333333334,10.0,1,10
39,Libya,3,0.5,6.0,1,7
40,Madagascar,4,0.6666666666666667,8.0,1,8
41,Malawi,1,0.16666666666666669,2.0,1,3
42,Maldives,1,0.16666666666666669,2.0,1,3
43,Mali,6,1.0,12.0,1,12
44,Mauritania,5,0.8333333333333334,10.0,1,10
45,Mongolia,1,0.16666666666666669,2.0,1,3
46,Montenegro,1,0.16666666666666669,2.0,1,3
47,Mozambique,1,0.16666666666666669,2.0,1,3
48,Myanmar,2,0.33333333333333337,4.0,1,5
49,Nepal,2,0.33333333333333337,4.0,1,5
50,Niger,5,0.8333333333333334,10.0,1,10
51,Nigeria,7,1.1666666666666667,14.000000000000002,2,14
52,Oman,1,0.16666666666666669,2.0,1,3
53,Pakistan,1,0.16666666666666669,2.0,1,3
54,Panama,4,0.6666666666666667,8.0,1,8
55,Papua New Guinea,2,0.33333333333333337,4.0,1,5
56,Paraguay,2,0.33333333333333337,4.0,1,5
57,Peru,2,0.33333333333333337,4.0,1,5
58,Philippines,6,1.0,12.0,1,12
59,Qatar,2,0.33333333333333337,4.0,1,5
60,Republic of Korea,1,0.16666666666666669,2.0,1,3
61,Rumania,1,0.16666666666666669,2.0,1,3
62,Russia,2,0.33333333333333337,4.0,1,5
63,Rwanda,1,0.16666666666666669,2.0,1,3
64,Sao Tome and Principe,2,0.33333333333333337,4.0,1,5
65,Serbia,1,0.16666666666666669,2.0,1,3
66,Sierra Leone,8,1.3333333333333335,16.0,2,16
67,Somalia,1,0.16666666666666669,2.0,1,3
68,South Sudan,1,0.16666666666666669,2.0,1,3
69,Sudan,9,1.5,18.0,2,17
70,Surinam,1,0.16666666666666669,2.0,1,3
71,Tajikistan,5,0.8333333333333334,10.0,1,10
72,Thailand,3,0.5,6.0,1,7
73,Togo,6,1.0,12.0,1,12
74,Trinidad and Tobago,1,0.16666666666666669,2.0,1,3
75,Tunisia,2,0.33333333333333337,4.0,1,5
76,Turkey,3,0.5,6.0,1,7
77,Turkmenistan,1,0.16666666666666669,2.0,1,3
78,Ukraine,1,0.16666666666666669,2.0,1,3
79,Venezuela,7,1.1666666666666667,14.000000000000002,2,14
80,Yemen Arab Republic,2,0.33333333333333337,4.0,1,5
81,Zambia,2,0.33333333333333337,4.0,1,5
82,Zimbabwe,5,0.8333333333333334,10.0,1,10
83,Jamaica,4,1.0,7.0,2,7
84,Macedonia,4,1.0,7.0,2,7
85,Spain,4,1.0,7.0,2,7
86,Saint Lucia,4,1.0,7.0,2,7
87,Jordan,4,1.0,7.0,2,7
88,Brunei,4,1.0,7.0,2,7
89,Anguilla,4,1.0,7.0,2,7
90,Northern Mariana Islands,4,1.0,7.0,2,7
91,Belarus,4,1.0,7.0,2,7
92,Australia,4,1.0,7.0,2,7
93,Greenland,4,1.0,7.0,2,7
94,Ireland,4,1.0,7.0,2,7
95,Guyana,4,1.0,7.0,2,7
96,Kuwait,4,1.0,7.0,2,7
97,Uruguay,4,1.0,7.0,2,7
98,Grenada,4,1.0,7.0,2,7
99,American Samoa,4,1.0,7.0,2,7
100,Chile,4,1.0,7.0,2,7
101,Dominica,4,1.0,7.0,2,7
102,Sint Maarten,4,1.0,7.0,2,7
103,Norfolk Island,4,1.0,7.0,2,7
104,Uganda,4,1.0,7.0,2,7
105,Kazakhstan,4,1.0,7.0,2,7
106,Indian Ocean Territories,4,1.0,7.0,2,7
107,Siachen Glacier,4,1.0,7.0,2,7
108,Switzerland,4,1.0,7.0,2,7
109,Sweden,4,1.0,7.0,2,7
110,Saint Vincent and the Grenadines,4,1.0,7.0,2,7
111,Angola,4,1.0,7.0,2,7
112,United States Virgin Islands,4,1.0,7.0,2,7
113,Isle of Man,4,1.0,7.0,2,7
114,Northern Cyprus,4,1.0,7.0,2,7
115,Romania,4,1.0,7.0,2,7
116,Taiwan,4,1.0,7.0,2,7
117,Denmark,4,1.0,7.0,2,7
118,Costa Rica,4,1.0,7.0,2,7
119,Macao S.A.R,4,1.0,7.0,2,7
120,Mexico,4,1.0,7.0,2,7
121,Belgium,4,1.0,7.0,2,7
122,Saint Kitts and Nevis,4,1.0,7.0,2,7
123,Palau,4,1.0,7.0,2,7
124,Bermuda,4,1.0,7.0,2,7
125,Syria,4,1.0,7.0,2,7
126,Vanuatu,4,1.0,7.0,2,7
127,Aruba,4,1.0,7.0,2,7
128,Hungary,4,1.0,7.0,2,7
129,Liechtenstein,4,1.0,7.0,2,7
130,Slovakia,4,1.0,7.0,2,7
131,Marshall Islands,4,1.0,7.0,2,7
132,New Zealand,4,1.0,7.0,2,7
133,Yemen,4,1.0,7.0,2,7
134,Cameroon,4,1.0,7.0,2,7
135,Guinea Bissau,4,1.0,7.0,2,7
136,Ghana,4,1.0,7.0,2,7
137,Sri Lanka,4,1.0,7.0,2,7
138,Faroe Islands,4,1.0,7.0,2,7
139,El Salvador,4,1.0,7.0,2,7
140,Estonia,4,1.0,7.0,2,7
141,Lithuania,4,1.0,7.0,2,7
142,South Africa,4,1.0,7.0,2,7
143,Belize,4,1.0,7.0,2,7
144,Andorra,4,1.0,7.0,2,7
145,Singapore,4,1.0,7.0,2,7
146,Cuba,4,1.0,7.0,2,7
147,Samoa,4,1.0,7.0,2,7
148,Palestine,4,1.0,7.0,2,7
149,Croatia,4,1.0,7.0,2,7
150,Bulgaria,4,1.0,7.0,2,7
151,Greece,4,1.0,7.0,2,7
152,Saint Martin,4,1.0,7.0,2,7
153,Swaziland,4,1.0,7.0,2,7
154,Latvia,4,1.0,7.0,2,7
155,Nicaragua,4,1.0,7.0,2,7
156,Malaysia,4,1.0,7.0,2,7
157,Suriname,4,1.0,7.0,2,7
158,South Korea,4,1.0,7.0,2,7
159,China,4,1.0,7.0,2,7
160,Namibia,4,1.0,7.0,2,7
161,Wallis and Futuna,4,1.0,7.0,2,7
162,Barbados,4,1.0,7.0,2,7
163,Botswana,4,1.0,7.0,2,7
164,Republic of Congo,4,1.0,7.0,2,7
165,Ashmore and Cartier Islands,4,1.0,7.0,2,7
166,Saint Barthelemy,4,1.0,7.0,2,7
167,Saint Pierre and Miquelon,4,1.0,7.0,2,7
168,British Virgin Islands,4,1.0,7.0,2,7
169,North Korea,4,1.0,7.0,2,7
170,Norway,4,1.0,7.0,2,7
171,Tanzania,4,1.0,7.0,2,7
172,The Bahamas,4,1.0,7.0,2,7
173,Colombia,4,1.0,7.0,2,7
174,Portugal,4,1.0,7.0,2,7
175,Germany,4,1.0,7.0,2,7
176,Antigua and Barbuda,4,1.0,7.0,2,7
177,Pitcairn Islands,4,1.0,7.0,2,7
178,Finland,4,1.0,7.0,2,7
179,Falkland Islands,4,1.0,7.0,2,7
180,Niue,4,1.0,7.0,2,7
181,Kenya,4,1.0,7.0,2,7
182,New Caledonia,4,1.0,7.0,2,7
183,Kiribati,4,1.0,7.0,2,7
184,United States of America,4,1.0,7.0,2,7
185,United Arab Emirates,4,1.0,7.0,2,7
186,India,4,1.0,7.0,2,7
187,Morocco,4,1.0,7.0,2,7
188,Turks and Caicos Islands,4,1.0,7.0,2,7
189,Federated States of Micronesia,4,1.0,7.0,2,7
