,id,country,coup_num,p_month,p_month_smooth,p_year,p_year_smooth
0,0,Afghanistan,10,0.016666666666666666,0.016,0.2,0.189
1,1,Albania,1,0.0016666666666666668,0.002,0.02,0.027
2,2,Algeria,5,0.008333333333333333,0.008,0.1,0.099
3,3,Angola,2,0.0033333333333333335,0.004,0.04,0.045
4,4,Argentina,10,0.016666666666666666,0.016,0.2,0.189
5,5,Armenia,1,0.0016666666666666668,0.002,0.02,0.027
6,6,Azerbaijan,5,0.008333333333333333,0.008,0.1,0.099
7,7,Bahrain,1,0.0016666666666666668,0.002,0.02,0.027
8,8,Bangladesh,9,0.015,0.014,0.18,0.171
9,9,Benin,5,0.008333333333333333,0.008,0.1,0.099
10,10,Bolivia,21,0.035,0.032,0.42,0.387
11,11,Bulgaria,1,0.0016666666666666668,0.002,0.02,0.027
12,12,Burkina Faso,9,0.015,0.014,0.18,0.171
13,13,Burundi,12,0.02,0.019,0.24,0.225
14,14,Cambodia,6,0.01,0.01,0.12,0.117
15,15,Cameroon,1,0.0016666666666666668,0.002,0.02,0.027
16,16,Central African Republic,7,0.011666666666666667,0.011,0.14,0.135
17,17,Chad,13,0.021666666666666667,0.02,0.26,0.243
18,18,Chile,3,0.005,0.005,0.06,0.063
19,19,China,2,0.0033333333333333335,0.004,0.04,0.045
20,20,Comoros,9,0.015,0.014,0.18,0.171
21,21,Congo,7,0.011666666666666667,0.011,0.14,0.135
22,22,Cote d'Ivoire,6,0.01,0.01,0.12,0.117
23,23,Cyprus,1,0.0016666666666666668,0.002,0.02,0.027
24,24,Czechoslovakia,1,0.0016666666666666668,0.002,0.02,0.027
25,25,Democratic Republic of the Congo,6,0.01,0.01,0.12,0.117
26,26,Djibouti,1,0.0016666666666666668,0.002,0.02,0.027
27,27,Dominica,1,0.0016666666666666668,0.002,0.02,0.027
28,28,East Timor,1,0.0016666666666666668,0.002,0.02,0.027
29,29,Ecuador,5,0.008333333333333333,0.008,0.1,0.099
30,30,Ecudaor,1,0.0016666666666666668,0.002,0.02,0.027
31,31,Egypt,3,0.005,0.005,0.06,0.063
32,32,El Salvador,3,0.005,0.005,0.06,0.063
33,33,Equatorial Guinea,3,0.005,0.005,0.06,0.063
34,34,Eritrea,1,0.0016666666666666668,0.002,0.02,0.027
35,35,Ethiopia,8,0.013333333333333334,0.013,0.16,0.153
36,36,Fiji,5,0.008333333333333333,0.008,0.1,0.099
37,37,Gabon,1,0.0016666666666666668,0.002,0.02,0.027
38,38,Gambia,5,0.008333333333333333,0.008,0.1,0.099
39,39,Georgia,4,0.006666666666666667,0.007,0.08,0.081
40,40,German Democratic Republic,3,0.005,0.005,0.06,0.063
41,41,Ghana,9,0.015,0.014,0.18,0.171
